vertices,edges,connectivity,iterations,time
3,1,0.1,0,6.599999999995498e-06
3,1,0.2,0,2.600000000005376e-06
3,1,0.30000000000000004,0,2.299999999996749e-06
3,2,0.4,2,4.699999999996374e-06
3,2,0.5,2,4.100000000006876e-06
3,2,0.6,2,3.9999999999901226e-06
3,3,0.7,6,8.099999999996998e-06
3,3,0.7999999999999999,6,7.3000000000017495e-06
3,3,0.8999999999999999,6,7.400000000004625e-06
4,1,0.1,0,2.600000000005376e-06
4,2,0.2,3,4.799999999999249e-06
4,2,0.30000000000000004,3,4.600000000007376e-06
4,3,0.4,8,7.899999999991247e-06
4,3,0.5,8,7.80000000000225e-06
4,4,0.6,17,1.5700000000007375e-05
4,5,0.7,20,1.9299999999999873e-05
4,5,0.7999999999999999,20,1.9200000000010875e-05
4,6,0.8999999999999999,30,2.7600000000002622e-05
5,1,0.1,0,2.9000000000001247e-06
5,2,0.2,3,9.799999999990372e-06
5,4,0.30000000000000004,19,1.889999999998837e-05
5,4,0.4,19,1.759999999999262e-05
5,5,0.5,30,5.2200000000002245e-05
5,6,0.6,35,3.550000000000775e-05
5,7,0.7,47,5.329999999999224e-05
5,8,0.7999999999999999,66,7.050000000000112e-05
5,9,0.8999999999999999,74,8.049999999999724e-05
6,2,0.1,5,5.5000000000055005e-06
6,3,0.2,10,9.000000000009e-06
6,5,0.30000000000000004,27,2.6600000000001622e-05
6,6,0.4,40,4.0300000000007e-05
6,8,0.5,61,6.769999999998999e-05
6,9,0.6,78,8.930000000000049e-05
6,11,0.7,110,0.0001381000000000021
6,12,0.7999999999999999,161,0.00020439999999999348
6,14,0.8999999999999999,217,0.0002908999999999967
7,3,0.1,12,1.0599999999999499e-05
7,5,0.2,24,2.3599999999998622e-05
7,7,0.30000000000000004,54,5.8500000000002994e-05
7,9,0.4,90,0.00010360000000000924
7,11,0.5,121,0.00016349999999999698
7,13,0.6,164,0.0002425999999999956
7,15,0.7,242,0.0003868000000000066
7,17,0.7999999999999999,296,0.0004943000000000031
7,19,0.8999999999999999,361,0.0006194000000000061
8,3,0.1,14,1.230000000000675e-05
8,6,0.2,42,4.409999999999137e-05
8,9,0.30000000000000004,92,0.00010620000000000074
8,12,0.4,132,0.00018179999999999585
8,14,0.5,173,0.0002726000000000117
8,17,0.6,272,0.00046919999999998907
8,20,0.7,410,0.0007833000000000007
8,23,0.7999999999999999,508,0.0010562999999999961
8,26,0.8999999999999999,816,0.001793099999999992
9,4,0.1,30,2.2300000000002873e-05
9,8,0.2,77,8.799999999997699e-05
9,11,0.30000000000000004,123,0.0001584999999999781
9,15,0.4,205,0.0003671999999999842
9,18,0.5,307,0.0006078000000000194
9,22,0.6,471,0.0010461999999999971
9,26,0.7,627,0.001567999999999986
9,29,0.7999999999999999,849,0.0021304000000000045
9,33,0.8999999999999999,1122,0.0028759999999999897
10,5,0.1,38,3.310000000000812e-05
10,9,0.2,95,0.00011659999999999449
10,14,0.30000000000000004,190,0.00032599999999999296
10,18,0.4,290,0.0006033000000000011
10,23,0.5,449,0.001050499999999982
10,27,0.6,629,0.001609200000000005
10,32,0.7,909,0.0026367000000000196
10,36,0.7999999999999999,1279,0.003940699999999991
10,41,0.8999999999999999,1858,0.005893700000000002
