vertices,edges,connectivity,iterations,time
3,1,0.1,3,0.00010100000000000386
3,1,0.2,3,3.299999999997749e-06
3,1,0.30000000000000004,3,3.2000000000018125e-06
3,2,0.4,7,6.699999999998374e-06
3,2,0.5,7,5.200000000003813e-06
3,2,0.6,7,4.9999999999980616e-06
3,3,0.7,15,1.0200000000001874e-05
3,3,0.7999999999999999,15,9.29999999999681e-06
3,3,0.8999999999999999,15,9.29999999999681e-06
4,1,0.1,4,3.600000000006376e-06
4,2,0.2,9,5.299999999999749e-06
4,2,0.30000000000000004,9,5.299999999999749e-06
4,3,0.4,14,7.099999999995998e-06
4,3,0.5,14,7.100000000009876e-06
4,4,0.6,20,9.900000000007125e-06
4,5,0.7,31,1.7799999999998373e-05
4,5,0.7999999999999999,31,1.7500000000003624e-05
4,6,0.8999999999999999,54,3.169999999999562e-05
5,1,0.1,5,3.9999999999901226e-06
5,2,0.2,12,6.3000000000007494e-06
5,4,0.30000000000000004,26,1.230000000000675e-05
5,4,0.4,26,1.1999999999998123e-05
5,5,0.5,35,1.7000000000003124e-05
5,6,0.6,46,2.3999999999996247e-05
5,7,0.7,59,3.400000000000625e-05
5,8,0.7999999999999999,67,4.2399999999997995e-05
5,9,0.8999999999999999,82,5.059999999999787e-05
6,2,0.1,14,6.8000000000012495e-06
6,3,0.2,22,8.80000000000325e-06
6,5,0.30000000000000004,38,1.5399999999998748e-05
6,6,0.4,46,1.940000000000275e-05
6,8,0.5,70,3.650000000000875e-05
6,9,0.6,84,4.8199999999998244e-05
6,11,0.7,112,7.440000000000224e-05
6,12,0.7999999999999999,127,8.950000000000624e-05
6,14,0.8999999999999999,207,0.00017769999999998898
7,3,0.1,27,1.1399999999994748e-05
7,5,0.2,48,1.9699999999997497e-05
7,7,0.30000000000000004,72,3.5599999999996745e-05
7,9,0.4,96,5.4499999999998994e-05
7,11,0.5,126,8.420000000000649e-05
7,13,0.6,152,0.00011139999999999761
7,15,0.7,199,0.0001699999999999896
7,17,0.7999999999999999,251,0.00024349999999999372
7,19,0.8999999999999999,309,0.00032050000000000134
8,3,0.1,30,1.1999999999998123e-05
8,6,0.2,64,2.6000000000012125e-05
8,9,0.30000000000000004,100,5.039999999999212e-05
8,12,0.4,144,9.220000000000061e-05
8,14,0.5,181,0.00013230000000000186
8,17,0.6,239,0.00021190000000000098
8,20,0.7,311,0.00032450000000000534
8,23,0.7999999999999999,408,0.0005103000000000052
8,26,0.8999999999999999,611,0.0008322999999999942
9,4,0.1,48,1.809999999999312e-05
9,8,0.2,103,5.239999999999412e-05
9,11,0.30000000000000004,149,9.359999999999924e-05
9,15,0.4,215,0.00016340000000000798
9,18,0.5,272,0.0002461999999999881
9,22,0.6,363,0.00040769999999999695
9,26,0.7,486,0.0006685000000000024
9,29,0.7999999999999999,617,0.0009727999999999959
9,33,0.8999999999999999,939,0.0017347000000000057
10,5,0.1,66,2.6100000000001122e-05
10,9,0.2,132,6.90000000000135e-05
10,14,0.30000000000000004,210,0.0001461000000000101
10,18,0.4,286,0.00024879999999999347
10,23,0.5,386,0.0004135000000000111
10,27,0.6,486,0.0006526000000000032
10,32,0.7,692,0.0011444999999999927
10,36,0.7999999999999999,896,0.0017093999999999998
10,41,0.8999999999999999,1366,0.002874399999999999
