vertices,edges,connectivity,iterations,time
3.0,1.0,0.09999999999999999,3.6666666666666665,2.7783333333334288e-05
3.0,1.0,0.19999999999999998,3.6666666666666665,9.883333333333041e-06
3.0,1.0,0.30000000000000004,3.6666666666666665,6.333333333330415e-06
3.0,2.0,0.39999999999999997,3.1666666666666665,7.366666666663395e-06
3.0,2.0,0.5,3.1666666666666665,6.050000000005125e-06
3.0,2.0,0.6,3.1666666666666665,6.083333333334791e-06
3.0,3.0,0.7000000000000001,3.0,6.183333333335354e-06
3.0,3.0,0.7999999999999999,3.0,6.066666666665332e-06
3.0,3.0,0.9,3.0,6.0166666666708335e-06
4.0,1.0,0.09999999999999999,9.166666666666666,1.106666666666802e-05
4.0,2.0,0.19999999999999998,9.0,2.156666666666927e-05
4.0,2.0,0.30000000000000004,9.0,2.6100000000001122e-05
4.0,3.0,0.39999999999999997,9.333333333333334,1.2366666666666082e-05
4.0,3.0,0.5,9.333333333333334,1.2299999999999811e-05
4.0,4.0,0.6,8.333333333333334,1.1833333333333603e-05
4.0,5.0,0.7000000000000001,7.833333333333333,1.1266666666664519e-05
4.0,5.0,0.7999999999999999,7.833333333333333,1.2416666666669832e-05
4.0,6.0,0.9,6.0,1.0516666666668395e-05
5.0,1.0,0.09999999999999999,22.166666666666668,2.1983333333334038e-05
5.0,2.0,0.19999999999999998,22.333333333333332,3.408333333333504e-05
5.0,4.0,0.30000000000000004,19.333333333333332,3.936666666666996e-05
5.0,4.0,0.39999999999999997,19.333333333333332,3.916666666666883e-05
5.0,5.0,0.5,17.666666666666668,3.770000000000162e-05
5.0,6.0,0.6,17.666666666666668,3.6283333333333535e-05
5.0,7.0,0.7000000000000001,19.5,3.988333333333297e-05
5.0,8.0,0.7999999999999999,21.333333333333332,4.6466666666668266e-05
5.0,9.0,0.9,13.833333333333334,3.2983333333333476e-05
6.0,2.0,0.09999999999999999,52.666666666666664,7.324999999999925e-05
6.0,3.0,0.19999999999999998,54.666666666666664,8.526666666666682e-05
6.0,5.0,0.30000000000000004,54.0,0.00010061666666666413
6.0,6.0,0.39999999999999997,52.166666666666664,0.00010288333333333584
6.0,8.0,0.5,55.333333333333336,0.00011468333333333515
6.0,9.0,0.6,51.833333333333336,8.22833333333356e-05
6.0,11.0,0.7000000000000001,44.333333333333336,6.976666666666752e-05
6.0,12.0,0.7999999999999999,33.0,6.051666666666289e-05
6.0,14.0,0.9,19.333333333333332,3.536666666666827e-05
7.0,3.0,0.09999999999999999,116.33333333333333,0.00011928333333332865
7.0,5.0,0.19999999999999998,131.0,0.00015286666666666782
7.0,7.0,0.30000000000000004,117.5,0.00015739999999999968
7.0,9.0,0.39999999999999997,118.5,0.0001759999999999979
7.0,11.0,0.5,121.33333333333333,0.00018844999999999973
7.0,13.0,0.6,139.66666666666666,0.0002351166666666645
7.0,15.0,0.7000000000000001,109.16666666666667,0.00019008333333333607
