vertices,edges,connectivity,iterations,time
3,1,0.1,3,5.600000000008376e-06
3,1,0.2,3,5.400000000002625e-06
3,1,0.30000000000000004,3,5.400000000002625e-06
3,2,0.4,3,6.499999999992623e-06
3,2,0.5,3,6.500000000006501e-06
3,2,0.6,3,6.3000000000007494e-06
3,3,0.7,3,6.400000000003625e-06
3,3,0.7999999999999999,3,6.3000000000007494e-06
3,3,0.8999999999999999,3,6.100000000008876e-06
4,1,0.1,8,1.0399999999993748e-05
4,2,0.2,8,1.1600000000000499e-05
4,2,0.30000000000000004,8,1.1999999999998123e-05
4,3,0.4,8,1.2399999999995748e-05
4,3,0.5,8,1.2100000000000999e-05
4,4,0.6,6,1.0799999999991372e-05
4,5,0.7,6,9.700000000001374e-06
4,5,0.7999999999999999,6,9.599999999998499e-06
4,6,0.8999999999999999,6,1.0500000000010501e-05
5,1,0.1,20,2.0199999999997997e-05
5,2,0.2,20,2.2100000000011e-05
5,4,0.30000000000000004,15,3.210000000000712e-05
5,4,0.4,15,3.340000000000287e-05
5,5,0.5,15,3.360000000000862e-05
5,6,0.6,15,3.4599999999995745e-05
5,7,0.7,12,2.919999999999312e-05
5,8,0.7999999999999999,10,2.989999999999937e-05
5,9,0.8999999999999999,10,2.6100000000001122e-05
6,2,0.1,48,6.680000000000574e-05
6,3,0.2,49,8.869999999999711e-05
6,5,0.30000000000000004,43,8.749999999999036e-05
6,6,0.4,39,8.480000000000987e-05
6,8,0.5,43,0.00010119999999999574
6,9,0.6,32,4.9400000000004995e-05
6,11,0.7,37,4.989999999999162e-05
6,12,0.7999999999999999,25,6.449999999999512e-05
6,14,0.8999999999999999,15,3.720000000000112e-05
7,3,0.1,107,0.00011419999999999486
7,5,0.2,109,0.00014340000000000186
7,7,0.30000000000000004,94,0.00014139999999999986
7,9,0.4,81,0.00010249999999999149
7,11,0.5,82,0.00011110000000000286
7,13,0.6,92,0.00013470000000000149
7,15,0.7,80,0.00015669999999999573
7,17,0.7999999999999999,48,0.00010229999999999961
7,19,0.8999999999999999,44,7.769999999999999e-05
8,3,0.1,236,0.00024119999999999697
8,6,0.2,200,0.0002682999999999991
8,9,0.30000000000000004,223,0.0003581000000000001
8,12,0.4,228,0.0004326000000000052
8,14,0.5,229,0.0004754999999999898
8,17,0.6,163,0.0003857999999999917
8,20,0.7,118,0.0002933999999999992
8,23,0.7999999999999999,87,0.00018019999999999148
8,26,0.8999999999999999,39,9.890000000001287e-05
9,4,0.1,486,0.0005672999999999928
9,8,0.2,436,0.0006886000000000114
9,11,0.30000000000000004,447,0.0008497999999999839
9,15,0.4,519,0.001130099999999995
9,18,0.5,490,0.0011558000000000124
9,22,0.6,278,0.000763700000000006
9,26,0.7,474,0.0013528999999999902
9,29,0.7999999999999999,295,0.0007681999999999967
9,33,0.8999999999999999,43,0.0001224999999999976
10,5,0.1,1024,0.001274200000000003
10,9,0.2,1019,0.001667700000000022
10,14,0.30000000000000004,1130,0.002295500000000006
10,18,0.4,1167,0.002801900000000024
10,23,0.5,866,0.002243900000000021
10,27,0.6,958,0.00269349999999996
10,32,0.7,828,0.0023365999999999665
10,36,0.7999999999999999,590,0.0020000000000000018
10,41,0.8999999999999999,293,0.000830300000000006
11,6,0.1,2026,0.002772600000000014
11,11,0.2,2111,0.0040080000000000116
11,17,0.30000000000000004,2059,0.00480240000000004
11,22,0.4,1842,0.0056679000000000035
11,28,0.5,1487,0.005391299999999988
11,33,0.6,1087,0.004347499999999949
11,39,0.7,2056,0.007959700000000014
11,44,0.7999999999999999,1734,0.00685480000000005
11,50,0.8999999999999999,222,0.0009211999999999554
12,7,0.1,4095,0.0060053999999999386
12,14,0.2,4149,0.009214500000000014
12,20,0.30000000000000004,4249,0.012137399999999965
12,27,0.4,4068,0.014696299999999995
12,33,0.5,4169,0.01668599999999998
12,40,0.6,3315,0.013164300000000129
12,47,0.7,4352,0.018587200000000026
12,53,0.7999999999999999,3919,0.017127499999999962
12,60,0.8999999999999999,1507,0.006934900000000077
13,8,0.1,8351,0.01312190000000002
13,16,0.2,8303,0.019432099999999952
13,24,0.30000000000000004,8439,0.0266462999999999
13,32,0.4,8502,0.03444479999999972
13,39,0.5,11522,0.04999809999999982
13,47,0.6,13774,0.05814499999999967
13,55,0.7,12310,0.06634319999999994
13,63,0.7999999999999999,4473,0.022804899999999684
13,71,0.8999999999999999,606,0.003022999999999776
14,10,0.1,16879,0.03070449999999969
14,19,0.2,17924,0.047984300000000424
14,28,0.30000000000000004,17526,0.06302080000000032
14,37,0.4,17637,0.08538960000000007
14,46,0.5,19088,0.10205410000000015
14,55,0.6,14258,0.0915423999999998
14,64,0.7,18972,0.10294679999999978
14,73,0.7999999999999999,11752,0.08584260000000121
14,82,0.8999999999999999,912,0.006985799999998932
15,11,0.1,32416,0.06575929999999985
15,21,0.2,33656,0.10950350000000064
15,32,0.30000000000000004,37281,0.1570545999999986
15,42,0.4,38639,0.19896020000000014
15,53,0.5,42610,0.26117970000000135
15,63,0.6,51417,0.3196266999999988
15,74,0.7,30453,0.1888196000000022
15,84,0.7999999999999999,41456,0.2706578999999998
15,95,0.8999999999999999,10415,0.06743720000000053
16,12,0.1,65638,0.14013659999999817
16,24,0.2,66358,0.22942120000000088
16,37,0.30000000000000004,76734,0.35986560000000267
16,48,0.4,79625,0.45305079999999975
16,60,0.5,80780,0.5409433000000021
16,72,0.6,81920,0.6311032999999995
16,84,0.7,65579,0.5743737999999965
16,96,0.7999999999999999,96334,0.6773901999999978
16,108,0.8999999999999999,22219,0.16484919999999903
17,14,0.1,131270,0.3050363000000047
17,28,0.2,135544,0.533869799999998
17,41,0.30000000000000004,159678,0.8251731999999947
17,55,0.4,178569,1.0965216000000026
17,68,0.5,204486,1.4283351000000124
17,82,0.6,200120,1.6031402999999926
17,96,0.7,182314,1.5891897999999998
17,109,0.7999999999999999,272175,2.29765789999999
17,123,0.8999999999999999,65918,0.5153396999999984
18,16,0.1,262629,0.6826155999999912
18,31,0.2,267827,1.1537819000000127
18,46,0.30000000000000004,307289,1.7973197999999968
18,62,0.4,345078,2.490755799999988
18,77,0.5,379926,2.8491458999999963
18,92,0.6,511532,4.507184600000016
18,108,0.7,630623,5.995962700000007
18,123,0.7999999999999999,548796,4.997394500000041
18,138,0.8999999999999999,161118,1.4283459000000107
19,18,0.1,525570,1.5066614000000413
19,35,0.2,545478,2.602108600000008
19,52,0.30000000000000004,664386,4.0246960999999715
19,69,0.4,696465,5.2045475000000465
19,86,0.5,727449,6.370361599999967
19,103,0.6,750275,7.603120200000035
19,120,0.7,752823,8.438611100000003
19,137,0.7999999999999999,1012183,11.617196300000046
19,154,0.8999999999999999,453241,5.15215319999993
20,19,0.1,1050153,3.2884511999999404
20,38,0.2,1071359,5.675351399999954
20,58,0.30000000000000004,1260915,9.05737949999991
20,76,0.4,1301324,11.577991100000077
20,95,0.5,1537584,15.93833219999999
20,114,0.6,1664054,18.243027199999915
20,133,0.7,2427770,29.162506500000063
20,152,0.7999999999999999,1722043,18.756828299999825
20,171,0.8999999999999999,833727,10.189014900000075
21,21,0.1,2116025,7.402376100000083
21,42,0.2,2376218,13.093286100000114
21,64,0.30000000000000004,2507219,19.241918599999963
21,84,0.4,2672369,25.075919200000044
21,105,0.5,2734191,30.517842100000053
21,126,0.6,3716215,46.21383369999967
21,147,0.7,4310318,55.03010919999997
21,168,0.7999999999999999,3683332,50.933430300000055
21,189,0.8999999999999999,3656770,50.015029199999844
22,24,0.1,4213805,16.457640799999808
22,47,0.2,4738665,28.818549799999346
22,70,0.30000000000000004,4923248,41.142805400000725
22,93,0.4,5281452,55.67988260000038
22,116,0.5,6095437,72.72542229999999
22,139,0.6,7215993,97.34672490000048
22,162,0.7,9371494,132.9740168999997
22,185,0.7999999999999999,10907956,158.6224657999992
22,208,0.8999999999999999,5150014,68.32999169999857
