vertices,edges,connectivity,iterations,time
3.0,1.0,0.09999999999999999,3.6666666666666665,7.733333404758014e-06
3.0,1.0,0.19999999999999998,3.6666666666666665,7.033333228415965e-06
3.0,1.0,0.30000000000000004,3.6666666666666665,6.416666716783463e-06
3.0,2.0,0.39999999999999997,3.1666666666666665,6.350000148813706e-06
3.0,2.0,0.5,3.1666666666666665,6.249999690529269e-06
3.0,2.0,0.6,3.1666666666666665,6.399999923208573e-06
3.0,3.0,0.7000000000000001,4.0,9.483333390865786e-06
3.0,3.0,0.7999999999999999,4.0,9.283333080626713e-06
3.0,3.0,0.9,4.0,9.350000254926272e-06
4.0,1.0,0.09999999999999999,9.166666666666666,1.1783333623801203e-05
4.0,2.0,0.19999999999999998,9.0,1.2450000212993473e-05
4.0,2.0,0.30000000000000004,9.0,1.1750000642981226e-05
4.0,3.0,0.39999999999999997,9.333333333333334,1.2616666936082765e-05
4.0,3.0,0.5,9.333333333333334,1.2850000530306716e-05
4.0,4.0,0.6,9.166666666666666,1.4466666774145173e-05
4.0,5.0,0.7000000000000001,8.833333333333334,1.4700000065204222e-05
4.0,5.0,0.7999999999999999,8.833333333333334,1.4683332968464432e-05
4.0,6.0,0.9,10.0,2.5499999840879656e-05
5.0,1.0,0.09999999999999999,22.166666666666668,3.0066666416435812e-05
5.0,2.0,0.19999999999999998,22.333333333333332,2.90000001162601e-05
5.0,4.0,0.30000000000000004,20.666666666666668,2.7633333653890684e-05
5.0,4.0,0.39999999999999997,20.666666666666668,2.768333312512065e-05
5.0,5.0,0.5,19.5,3.2466666804490764e-05
5.0,6.0,0.6,19.166666666666668,3.206666648717752e-05
5.0,7.0,0.7000000000000001,21.666666666666668,3.2350000158961244e-05
5.0,8.0,0.7999999999999999,25.0,4.019999990608388e-05
5.0,9.0,0.9,18.333333333333332,3.573333318248236e-05
6.0,2.0,0.09999999999999999,52.666666666666664,7.111666642837615e-05
6.0,3.0,0.19999999999999998,54.666666666666664,7.794999995288283e-05
6.0,5.0,0.30000000000000004,54.833333333333336,9.189999976418524e-05
6.0,6.0,0.39999999999999997,53.5,9.98666667631672e-05
6.0,8.0,0.5,57.0,0.00011241666682811531
6.0,9.0,0.6,54.666666666666664,0.00011346666633471614
6.0,11.0,0.7000000000000001,50.5,0.0001049999997727961
6.0,12.0,0.7999999999999999,44.5,7.788333338491309e-05
6.0,14.0,0.9,33.5,7.033333319365435e-05
7.0,3.0,0.09999999999999999,116.33333333333333,0.00012908333307374656
7.0,5.0,0.19999999999999998,131.0,0.00015414999991965791
7.0,7.0,0.30000000000000004,120.0,0.0001631500005411605
7.0,9.0,0.39999999999999997,120.5,0.00018183333365110835
7.0,11.0,0.5,124.83333333333333,0.00019848333370949453
7.0,13.0,0.6,143.66666666666666,0.00023844999971818956
7.0,15.0,0.7000000000000001,116.66666666666667,0.00020915000004606554
7.0,17.0,0.7999999999999999,113.5,0.00021471666726332236
7.0,19.0,0.9,91.66666666666667,0.00018018333351695523
8.0,3.0,0.09999999999999999,249.16666666666666,0.000247033333228804
8.0,6.0,0.19999999999999998,271.5,0.0003413166662843044
8.0,9.0,0.30000000000000004,287.0,0.0004277499998958471
8.0,12.0,0.39999999999999997,291.3333333333333,0.0004970500000733106
8.0,14.0,0.5,297.0,0.0005461166668586278
8.0,17.0,0.6,294.6666666666667,0.0005847499999921032
8.0,20.0,0.7000000000000001,251.66666666666666,0.0005399166669424934
8.0,23.0,0.7999999999999999,228.33333333333334,0.0005268666661019475
8.0,26.0,0.9,161.33333333333334,0.0003881666671077255
9.0,4.0,0.09999999999999999,569.5,0.0005967500001133885
9.0,8.0,0.19999999999999998,608.1666666666666,0.0008382499997120855
9.0,11.0,0.30000000000000004,624.6666666666666,0.001009650000014517
9.0,15.0,0.39999999999999997,666.1666666666666,0.0012630333336952997
9.0,18.0,0.5,629.5,0.0013341500001236757
9.0,22.0,0.6,642.6666666666666,0.0014628666667704238
9.0,26.0,0.7000000000000001,733.1666666666666,0.001806383333435709
9.0,29.0,0.7999999999999999,576.8333333333334,0.0014422833337448537
9.0,33.0,0.9,349.6666666666667,0.0008874666670332468
10.0,5.0,0.09999999999999999,1141.8333333333333,0.0013279500002075413
10.0,9.0,0.19999999999999998,1204.6666666666667,0.001816066666833649
10.0,14.0,0.30000000000000004,1313.5,0.0024919000003743954
10.0,18.0,0.39999999999999997,1398.0,0.0030827333336371034
10.0,23.0,0.5,1480.1666666666667,0.0037300333333405433
10.0,27.0,0.6,1501.6666666666667,0.0040699333330849186
10.0,32.0,0.7000000000000001,1718.0,0.005064900000130971
10.0,36.0,0.7999999999999999,1482.0,0.004370133333395643
10.0,41.0,0.9,873.6666666666666,0.002707949999603443
11.0,6.0,0.09999999999999999,2252.0,0.0028799500005334266
11.0,11.0,0.19999999999999998,2375.6666666666665,0.004153883333250026
11.0,17.0,0.30000000000000004,2410.3333333333335,0.005515149999761586
11.0,22.0,0.39999999999999997,2531.1666666666665,0.006839249999757158
11.0,28.0,0.5,2485.8333333333335,0.00787681666709735
11.0,33.0,0.6,2609.0,0.009010733333525422
11.0,39.0,0.7000000000000001,3237.8333333333335,0.011694666666395884
11.0,44.0,0.7999999999999999,3549.0,0.012679683333468953
11.0,50.0,0.9,1621.3333333333333,0.006009383333548612
12.0,7.0,0.09999999999999999,4658.666666666667,0.006334550000550128
12.0,14.0,0.19999999999999998,4878.333333333333,0.009780283333384432
12.0,20.0,0.30000000000000004,5246.0,0.013210133333814156
12.0,27.0,0.39999999999999997,5904.666666666667,0.018105100000260183
12.0,33.0,0.5,6170.166666666667,0.02140479999980016
12.0,40.0,0.6,6855.666666666667,0.025998450000467226
12.0,47.0,0.7000000000000001,7614.333333333333,0.03096985000017109
12.0,53.0,0.7999999999999999,6502.166666666667,0.0279598000003413
12.0,60.0,0.9,3434.1666666666665,0.01591283333315611
13.0,8.0,0.09999999999999999,9156.166666666666,0.013751833333420413
13.0,16.0,0.19999999999999998,10137.666666666666,0.022700633333139802
13.0,24.0,0.30000000000000004,10658.0,0.031173200000315166
13.0,32.0,0.39999999999999997,11765.166666666666,0.04184075000011944
13.0,39.0,0.5,13147.333333333334,0.052756216666845525
13.0,47.0,0.6,15379.166666666666,0.06838096666645772
13.0,55.0,0.7000000000000001,15792.5,0.074838883333238
13.0,63.0,0.7999999999999999,16389.833333333332,0.08055335000062769
13.0,71.0,0.9,6839.0,0.03563946666599804
14.0,10.0,0.09999999999999999,18321.833333333332,0.03152715000002596
14.0,19.0,0.19999999999999998,19772.5,0.05099719999998342
14.0,28.0,0.30000000000000004,21169.833333333332,0.07154765000025994
