vertices,edges,connectivity,iterations,time
3,1,0.1,4,1.2900000001536682e-05
3,1,0.2,4,7.0000005507608876e-06
3,1,0.30000000000000004,4,6.8999997893115506e-06
3,2,0.4,4,6.600001142942347e-06
3,2,0.5,4,6.499998562503606e-06
3,2,0.6,4,6.800000846851617e-06
3,3,0.7,4,9.900000804918818e-06
3,3,0.7999999999999999,4,9.40000063565094e-06
3,3,0.8999999999999999,4,9.499999578110874e-06
4,1,0.1,11,1.3799999578623101e-05
4,2,0.2,10,1.5800000255694613e-05
4,2,0.30000000000000004,10,1.300000076298602e-05
4,3,0.4,10,1.2800001059076749e-05
4,3,0.5,10,1.2800001059076749e-05
4,4,0.6,12,1.4599998394260183e-05
4,5,0.7,11,1.739999970595818e-05
4,5,0.7999999999999999,11,1.7099999240599573e-05
4,6,0.8999999999999999,10,2.5299999833805487e-05
5,1,0.1,25,3.099999958067201e-05
5,2,0.2,25,3.3499998608022e-05
5,4,0.30000000000000004,23,3.020000076503493e-05
5,4,0.4,23,3.020000076503493e-05
5,5,0.5,24,3.3200001780642197e-05
5,6,0.6,25,3.6100000215810724e-05
5,7,0.7,34,4.1000001147040166e-05
5,8,0.7999999999999999,34,4.2300000131945126e-05
5,9,0.8999999999999999,26,4.059999992023222e-05
6,2,0.1,59,7.709999954386149e-05
6,3,0.2,66,7.9100000220933e-05
6,5,0.30000000000000004,69,0.00011040000026696362
6,6,0.4,61,0.00011280000035185367
6,8,0.5,76,0.00014679999912914354
6,9,0.6,64,0.00013779999972030055
6,11,0.7,56,8.449999950244091e-05
6,12,0.7999999999999999,58,9.690000115369912e-05
6,14,0.8999999999999999,44,0.00010130000009667128
7,3,0.1,121,0.0001235999989148695
7,5,0.2,166,0.0001799000001483364
7,7,0.30000000000000004,142,0.00017880000086734071
7,9,0.4,145,0.00020790000053239055
7,11,0.5,165,0.00024699999994481914
7,13,0.6,209,0.0003282999987277435
7,15,0.7,149,0.0002395999999862397
7,17,0.7999999999999999,152,0.00025520000053802505
7,19,0.8999999999999999,137,0.0002645999993546866
8,3,0.1,268,0.000252800000453135
8,6,0.2,317,0.0003828999997494975
8,9,0.30000000000000004,362,0.0005173999998078216
8,12,0.4,323,0.0005500999996002065
8,14,0.5,340,0.0005982999991829274
8,17,0.6,355,0.0007007999993220437
8,20,0.7,455,0.0008856000004016096
8,23,0.7999999999999999,344,0.0007203000004665228
8,26,0.8999999999999999,224,0.0005415000014181715
9,4,0.1,752,0.0007208000006357906
9,8,0.2,833,0.001007200000458397
9,11,0.30000000000000004,850,0.0012038999993819743
9,15,0.4,788,0.0014021000006323447
9,18,0.5,807,0.0014668000003439374
9,22,0.6,1064,0.0022771999992983183
9,26,0.7,1076,0.0024293000005854992
9,29,0.7999999999999999,983,0.0024733000009291572
9,33,0.8999999999999999,504,0.0012108999999327352
10,5,0.1,1351,0.0014711999992869096
10,9,0.2,1589,0.002197300000261748
10,14,0.30000000000000004,1608,0.0027441000001999782
10,18,0.4,1583,0.00320570000076259
10,23,0.5,1687,0.004258499999195919
10,27,0.6,1986,0.005080499999166932
10,32,0.7,2418,0.0072506999986217124
10,36,0.7999999999999999,2427,0.007500699999582139
10,41,0.8999999999999999,1189,0.0037936000007903203
11,6,0.1,2590,0.0029970000014145626
11,11,0.2,2779,0.004362700001365738
11,17,0.30000000000000004,2897,0.0058869999993476085
11,22,0.4,3320,0.007889599999543861
11,28,0.5,2937,0.008015100000193343
11,33,0.6,3412,0.01132780000079947
11,39,0.7,4332,0.016025700000682264
11,44,0.7999999999999999,5038,0.017484300000432995
11,50,0.8999999999999999,2327,0.008800800000244635
12,7,0.1,5368,0.006409900001017377
12,14,0.2,6048,0.01058750000083819
12,20,0.30000000000000004,6543,0.014416100000744336
12,27,0.4,7741,0.020679999999629217
12,33,0.5,7508,0.022629900000538328
12,40,0.6,9159,0.03132520000144723
12,47,0.7,12434,0.04897949999940465
12,53,0.7999999999999999,10084,0.04647269999986747
12,60,0.8999999999999999,5357,0.024737599998843507
13,8,0.1,10882,0.01618400000006659
13,16,0.2,11646,0.02583089999825461
13,24,0.30000000000000004,12434,0.035369100000025355
13,32,0.4,14564,0.048799899999721674
13,39,0.5,14060,0.05280979999952251
13,47,0.6,17653,0.07291629999963334
13,55,0.7,19036,0.09364910000113014
13,63,0.7999999999999999,23951,0.11319430000003194
13,71,0.8999999999999999,13475,0.06399769999916316
14,10,0.1,20351,0.0320040999995399
14,19,0.2,23895,0.05961849999948754
14,28,0.30000000000000004,27278,0.0863048000010167
14,37,0.4,30562,0.11461129999952391
14,46,0.5,35740,0.1722341000004235
14,55,0.6,50464,0.26113750000149594
14,64,0.7,44111,0.242880800000421
14,73,0.7999999999999999,51234,0.30000959999961196
14,82,0.8999999999999999,32534,0.17887119999977585
15,11,0.1,37686,0.06881719999910274
15,21,0.2,46552,0.12663049999900977
15,32,0.30000000000000004,51067,0.18128140000044368
15,42,0.4,60942,0.2653909999989992
15,53,0.5,67520,0.3477411000003485
15,63,0.6,69885,0.3949787000001379
15,74,0.7,87480,0.520434900001419
