vertices,edges,connectivity,iterations,time
3,1,0.1,3,5.699999746866524e-06
3,1,0.2,3,5.399999281507917e-06
3,1,0.30000000000000004,3,5.500000042957254e-06
3,2,0.4,3,6.599999323952943e-06
3,2,0.5,3,6.50000038149301e-06
3,2,0.6,3,6.499998562503606e-06
3,3,0.7,4,9.900000804918818e-06
3,3,0.7999999999999999,4,9.40000063565094e-06
3,3,0.8999999999999999,4,9.499999578110874e-06
4,1,0.1,8,1.0800000382005237e-05
4,2,0.2,8,1.2500000593718141e-05
4,2,0.30000000000000004,8,1.190000148199033e-05
4,3,0.4,8,1.2799999240087345e-05
4,3,0.5,8,1.2800001059076749e-05
4,4,0.6,7,1.3300001228344627e-05
4,5,0.7,7,1.2900000001536682e-05
4,5,0.7999999999999999,7,1.2800001059076749e-05
4,6,0.8999999999999999,10,2.5299999833805487e-05
5,1,0.1,20,2.809999932651408e-05
5,2,0.2,20,2.950000089185778e-05
5,4,0.30000000000000004,18,2.680000034160912e-05
5,4,0.4,18,2.6599998818710446e-05
5,5,0.5,17,2.7799998861155473e-05
5,6,0.6,17,2.8599999495781958e-05
5,7,0.7,17,2.990000029967632e-05
5,8,0.7999999999999999,18,3.6499999623629265e-05
5,9,0.8999999999999999,14,3.0899998819222674e-05
6,2,0.1,48,6.7299999500392e-05
6,3,0.2,49,7.609999920532573e-05
6,5,0.30000000000000004,47,8.350000098289456e-05
6,6,0.4,43,0.0001002000008156756
6,8,0.5,45,9.580000005371403e-05
6,9,0.6,40,8.86999987415038e-05
6,11,0.7,41,5.880000026081689e-05
6,12,0.7999999999999999,36,7.650000043213367e-05
6,14,0.8999999999999999,25,4.6999999540275894e-05
7,3,0.1,107,0.00013659999967785552
7,5,0.2,109,0.0001407999989169184
7,7,0.30000000000000004,99,0.00015460000031453092
7,9,0.4,85,0.0001145999995060265
7,11,0.5,86,0.0001236000007338589
7,13,0.6,96,0.0001453000004403293
7,15,0.7,92,0.0001871999993454665
7,17,0.7999999999999999,74,0.00017359999947075266
7,19,0.8999999999999999,67,0.00013690000014321413
8,3,0.1,236,0.0002401000001555076
8,6,0.2,203,0.0002747999988059746
8,9,0.30000000000000004,226,0.00036279999949329067
8,12,0.4,231,0.0004334999994171085
8,14,0.5,232,0.0004729000011138851
8,17,0.6,180,0.000427700000727782
8,20,0.7,158,0.00034899999991466757
8,23,0.7999999999999999,107,0.0002449999992677476
8,26,0.8999999999999999,88,0.00020590000167430844
9,4,0.1,486,0.0005507000005309237
9,8,0.2,440,0.0006913999986863928
9,11,0.30000000000000004,451,0.0008627000006526941
9,15,0.4,523,0.001136900000346941
9,18,0.5,519,0.00123630000052799
9,22,0.6,348,0.0009836000008363044
9,26,0.7,533,0.001513600000180304
9,29,0.7999999999999999,315,0.0008273999992525205
9,33,0.8999999999999999,99,0.000281300001006457
10,5,0.1,1024,0.0012800000004062895
10,9,0.2,1023,0.0016672999990987591
10,14,0.30000000000000004,1134,0.002275500000905595
10,18,0.4,1170,0.002787499999612919
10,23,0.5,975,0.0025701999984448776
10,27,0.6,1052,0.0029966000001877546
10,32,0.7,992,0.002910400000473601
10,36,0.7999999999999999,943,0.0032279000006383285
10,41,0.8999999999999999,364,0.0011061000004701782
11,6,0.1,2026,0.002752800000962452
11,11,0.2,2115,0.004000999999334454
11,17,0.30000000000000004,2099,0.005275999999867054
11,22,0.4,1897,0.005802699999549077
11,28,0.5,1626,0.0059154999999009306
11,33,0.6,1425,0.005761599999459577
11,39,0.7,2288,0.008822399999189656
11,44,0.7999999999999999,2229,0.008798299999398296
11,50,0.8999999999999999,476,0.0020291000000725035
12,7,0.1,4095,0.00596870000117633
12,14,0.2,4153,0.009173599999485305
12,20,0.30000000000000004,4253,0.01204180000058841
12,27,0.4,4128,0.014707799999087001
12,33,0.5,4342,0.017321600000286708
12,40,0.6,3516,0.013876099999833968
12,47,0.7,4626,0.01967550000154006
12,53,0.7999999999999999,4080,0.017721600001095794
12,60,0.8999999999999999,1736,0.007985099999132217
13,8,0.1,8362,0.0129516999986663
13,16,0.2,8460,0.019567600000300445
13,24,0.30000000000000004,8596,0.026949600000079954
13,32,0.4,8542,0.03409230000033858
13,39,0.5,11554,0.049511100000017905
13,47,0.6,13826,0.05836329999874579
13,55,0.7,12453,0.06678869999996095
13,63,0.7999999999999999,5600,0.027115900000353577
13,71,0.8999999999999999,884,0.004479499999433756
14,10,0.1,16879,0.03036969999993744
14,19,0.2,17927,0.04744390000087151
14,28,0.30000000000000004,17707,0.06318350000037753
14,37,0.4,17679,0.0801898000008805
14,46,0.5,20260,0.10686519999944721
14,55,0.6,15034,0.09555580000051123
14,64,0.7,19558,0.1031994000004488
14,73,0.7999999999999999,17600,0.1269683000009536
14,82,0.8999999999999999,4728,0.027687599998898804
15,11,0.1,32426,0.06411459999981162
15,21,0.2,33820,0.10572630000024219
15,32,0.30000000000000004,37442,0.15811820000089938
15,42,0.4,38782,0.19920139999885578
15,53,0.5,42651,0.2587091000004875
15,63,0.6,51610,0.321015500001522
15,74,0.7,32445,0.20134999999936554
15,84,0.7999999999999999,49901,0.36989659999926516
15,95,0.8999999999999999,14366,0.09587909999936528
16,12,0.1,65638,0.1396759999988717
16,24,0.2,66454,0.2275350999989314
16,37,0.30000000000000004,76830,0.3598829000002297
16,48,0.4,79689,0.4517528000014863
16,60,0.5,81200,0.5426626000007673
16,72,0.6,83022,0.641306399998939
16,84,0.7,72247,0.628258900000219
16,96,0.7999999999999999,103188,0.737091999999393
16,108,0.8999999999999999,31259,0.2505359999995562
17,14,0.1,131340,0.3038887999991857
17,28,0.2,135551,0.5311024000002362
17,41,0.30000000000000004,159680,0.82718179999938
17,55,0.4,179528,1.0953647999995155
17,68,0.5,204903,1.4260922000012215
17,82,0.6,201517,1.6107978000000003
17,96,0.7,189666,1.6691034999985277
17,109,0.7999999999999999,287558,2.456032399999458
17,123,0.8999999999999999,71885,0.569665700000769
18,16,0.1,262639,0.6779682999986107
18,31,0.2,267834,1.1467080999991595
18,46,0.30000000000000004,307327,1.7805025999987265
18,62,0.4,347715,2.507341599999563
18,77,0.5,384271,2.87781460000042
18,92,0.6,512604,4.525375299999723
18,108,0.7,634300,6.001136200000474
18,123,0.7999999999999999,559588,5.103279400000247
18,138,0.8999999999999999,164916,1.492844000000332
19,18,0.1,525653,1.5018242000005557
19,35,0.2,545485,2.6170246999990923
19,52,0.30000000000000004,664424,3.994217999999819
19,69,0.4,696860,5.197162599999501
19,86,0.5,728461,6.404045200000837
19,103,0.6,755183,7.6727477000004
19,120,0.7,780748,8.772144799999296
19,137,0.7999999999999999,1041901,11.988086499999554
19,154,0.8999999999999999,582962,6.29535560000113
20,19,0.1,1050245,3.2680319999999483
20,38,0.2,1071366,5.661600699999326
20,58,0.30000000000000004,1260956,9.069114300000365
20,76,0.4,1301704,11.528330700000879
20,95,0.5,1537893,15.930221299999175
20,114,0.6,1696543,18.558893000001262
20,133,0.7,2453775,29.49405989999832
20,152,0.7999999999999999,1889292,20.802555700000084
20,171,0.8999999999999999,1189850,14.980671400000574
21,21,0.1,2116025,7.360104899998987
21,42,0.2,2376226,13.055642299999818
21,64,0.30000000000000004,2507378,19.224297299999307
21,84,0.4,2673277,25.04448930000035
21,105,0.5,2743666,30.627367799999774
21,126,0.6,3774550,47.205063399998835
21,147,0.7,4321111,55.34140659999866
21,168,0.7999999999999999,4089987,57.13377849999961
21,189,0.8999999999999999,3922095,49.83814540000094
22,24,0.1,4213812,16.328729400000157
22,47,0.2,4738816,28.75035200000093
22,70,0.30000000000000004,4923399,41.13284349999958
22,93,0.4,5292314,56.00766769999973
22,116,0.5,6099356,72.79447190000064
22,139,0.6,7293787,99.53786589999982
22,162,0.7,9624856,138.40756610000062
22,185,0.7999999999999999,11247802,167.7519229999998
22,208,0.8999999999999999,5184432,70.06170719999864
